               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037634,            0.030828,            0.012904,             0.72014,              0.6636,             0.75416,             0.40293,            0.025324,            0.015954,           0.0076685,           0.0056688,           0.0056688,           0.0056688
                  37,            0.034899,             0.03214,            0.013467,             0.81369,             0.68436,             0.79864,               0.485,            0.024467,            0.015605,           0.0073811,            0.005545,            0.005545,            0.005545
                  38,             0.03579,            0.032852,            0.012969,             0.79375,             0.70628,             0.78688,             0.45137,            0.025177,            0.015459,           0.0074736,           0.0054212,           0.0054212,           0.0054212
                  39,            0.036053,            0.037917,            0.014389,             0.81225,             0.63419,             0.79715,             0.48168,            0.022343,            0.015634,           0.0072891,           0.0052975,           0.0052975,           0.0052975
                  40,            0.035274,             0.03093,            0.012891,              0.7414,             0.66146,             0.74505,             0.46036,             0.02138,            0.015701,           0.0072838,           0.0051737,           0.0051737,           0.0051737
                  41,            0.032885,            0.032606,            0.011273,             0.72858,             0.61406,             0.70548,             0.38254,            0.030045,            0.016331,            0.006946,             0.00505,             0.00505,             0.00505
                  42,            0.034164,             0.03004,            0.011393,             0.77424,             0.63235,             0.71115,             0.40238,            0.026873,            0.016457,           0.0063765,           0.0049263,           0.0049263,           0.0049263
                  43,            0.037083,            0.031216,            0.011614,             0.87347,             0.58588,             0.76563,              0.4001,            0.025179,            0.017355,           0.0060122,           0.0048025,           0.0048025,           0.0048025
                  44,            0.033172,            0.033326,            0.010511,             0.71134,             0.66544,             0.74891,             0.44307,             0.02528,            0.017047,           0.0057996,           0.0046788,           0.0046788,           0.0046788
                  45,            0.032976,            0.029806,           0.0098416,             0.68978,             0.75137,             0.75728,             0.42838,            0.023246,            0.016642,           0.0053727,            0.004555,            0.004555,            0.004555
                  46,            0.035029,            0.030574,            0.011687,             0.83339,              0.7261,             0.81609,             0.46344,            0.022563,            0.017331,           0.0045693,           0.0044313,           0.0044313,           0.0044313
                  47,            0.032828,            0.032076,            0.011065,             0.92806,             0.78311,             0.89502,             0.49542,             0.02274,            0.017027,           0.0042219,           0.0043075,           0.0043075,           0.0043075
                  48,            0.031649,             0.02993,           0.0094061,             0.80335,             0.80038,             0.85415,             0.48777,            0.023463,            0.016526,           0.0040481,           0.0041837,           0.0041837,           0.0041837
                  49,            0.032663,            0.032847,           0.0098761,             0.83995,             0.85642,             0.89014,             0.51943,            0.021962,            0.016156,           0.0042069,             0.00406,             0.00406,             0.00406
                  50,             0.03088,            0.030379,            0.012024,             0.92303,             0.80632,             0.89733,              0.5144,            0.021748,            0.016051,           0.0038782,           0.0039362,           0.0039362,           0.0039362
                  51,            0.029348,            0.028143,           0.0086889,             0.94187,             0.81801,             0.92441,             0.51402,            0.021748,            0.015869,           0.0036989,           0.0038125,           0.0038125,           0.0038125
                  52,            0.032932,            0.031213,            0.008314,             0.93514,             0.86199,             0.93346,             0.51445,            0.022156,            0.015802,           0.0031369,           0.0036888,           0.0036888,           0.0036888
                  53,            0.035206,            0.029187,           0.0087686,             0.91131,             0.80262,             0.89362,             0.50479,            0.025411,            0.015805,           0.0030062,            0.003565,            0.003565,            0.003565
                  54,            0.033421,            0.032018,           0.0099112,             0.89506,             0.84511,             0.87608,               0.531,             0.02098,            0.015848,           0.0031135,           0.0034413,           0.0034413,           0.0034413
                  55,            0.030297,            0.030153,           0.0082258,             0.87596,             0.87545,             0.87544,             0.51975,            0.022481,            0.015788,           0.0028728,           0.0033175,           0.0033175,           0.0033175
                  56,            0.031824,            0.030295,           0.0085964,             0.89322,               0.863,             0.89148,              0.5112,             0.02305,            0.015721,           0.0029763,           0.0031938,           0.0031938,           0.0031938
                  57,            0.033921,            0.031435,           0.0086241,             0.92442,             0.89841,             0.93078,              0.5552,             0.01978,            0.015847,           0.0029552,             0.00307,             0.00307,             0.00307
                  58,            0.025484,            0.029629,            0.008522,             0.94032,             0.89289,             0.92844,             0.55259,            0.019733,            0.015756,           0.0027776,           0.0029462,           0.0029462,           0.0029462
                  59,            0.029153,            0.029775,           0.0084809,             0.90472,             0.83181,             0.90484,             0.54873,            0.019745,             0.01575,           0.0026561,           0.0028225,           0.0028225,           0.0028225
                  60,             0.02919,             0.03021,           0.0087688,             0.91528,             0.78676,             0.89997,             0.55617,            0.019871,            0.015654,           0.0026139,           0.0026987,           0.0026987,           0.0026987
                  61,            0.028357,            0.025173,           0.0070509,             0.91645,             0.78413,             0.89317,             0.55178,            0.020055,            0.015926,           0.0025793,            0.002575,            0.002575,            0.002575
                  62,            0.028101,            0.029566,           0.0085068,             0.90446,             0.75733,             0.88082,               0.539,            0.019857,            0.016151,           0.0025661,           0.0024513,           0.0024513,           0.0024513
                  63,            0.028348,            0.026836,           0.0082732,             0.89564,             0.81157,             0.87912,             0.52498,            0.020341,            0.015968,           0.0024519,           0.0023275,           0.0023275,           0.0023275
                  64,            0.027318,            0.028577,           0.0083198,             0.89944,             0.75551,             0.85365,             0.53691,            0.019054,            0.016368,           0.0025737,           0.0022038,           0.0022038,           0.0022038
                  65,            0.028769,            0.029449,           0.0083985,             0.90681,             0.75551,             0.84489,             0.53034,            0.019874,            0.016269,            0.002487,             0.00208,             0.00208,             0.00208
                  66,            0.028001,            0.027948,           0.0083407,             0.93625,             0.75233,              0.8737,             0.55369,            0.020037,            0.016314,           0.0025185,           0.0019563,           0.0019563,           0.0019563
                  67,            0.023987,            0.025547,           0.0067485,             0.94063,             0.75551,             0.88441,             0.53599,            0.019085,            0.016849,           0.0023506,           0.0018325,           0.0018325,           0.0018325
                  68,            0.027599,            0.029345,           0.0091535,             0.95228,             0.75631,             0.87045,             0.55212,             0.01891,            0.016603,           0.0023019,           0.0017087,           0.0017087,           0.0017087
